"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
18462718,"Neat Cozy  room attached by PRIVATE FULL BATHROOM",120767920,"Jimmy &Cindy","Queens","Flushing",40.75556,-73.81205,"Private room",47,2,79,"2019-06-18",3.15,10,346
32038185,"8mins  to JFK airport, separate door & bathroom",240203470,"Modesta","Queens","Jamaica",40.67804,-73.80122,"Private room",25,1,44,"2019-06-30",9.23,1,41
33256653,"Bed-Stuy, Brooklyn apt w/ rooftop & skyline view.",204221927,"Tommy, Nate, And Kofi","Brooklyn","Bedford-Stuyvesant",40.68716,-73.94241,"Private room",55,2,6,"2019-06-30",3.53,1,89
874706,"Fully Updated Modern 1 Bedroom Apartment",4616773,"Joan","Brooklyn","Kensington",40.64534,-73.97189,"Entire home/apt",95,3,154,"2019-07-01",2,1,310
32470327,"Chic & Sunny Prospect Park 1-Bedroom",243944082,"Mani","Brooklyn","Flatbush",40.65215,-73.9647,"Entire home/apt",110,13,0,"",NA,1,8
26075796,"Spacious Studio Near Columbia University",155807678,"Gloria","Manhattan","Morningside Heights",40.80395,-73.96311,"Entire home/apt",113,45,0,"",NA,1,87
13098701,"NYCHaven4:Entire house minutes from JFK and Casino",47351539,"Jason","Queens","South Ozone Park",40.67321,-73.79247,"Entire home/apt",195,1,239,"2019-06-21",6.31,4,256
16297227,"True 1 BR Midtown West / Hell's Kitchen gem",82646321,"Shady","Manhattan","Hell's Kitchen",40.76428,-73.99381,"Entire home/apt",130,2,77,"2019-06-17",3.63,1,9
5477876,"Stylish Greenpoint Gem",1506972,"Vanessa & Christian","Brooklyn","Greenpoint",40.73406,-73.95551,"Entire home/apt",135,3,17,"2019-06-08",0.32,1,8
15154905,"Huge bedroom suite in Greenpoint, Brooklyn",1103252,"Arin","Brooklyn","Greenpoint",40.73287,-73.95211,"Private room",130,1,104,"2019-06-21",3.2,1,146
35747359,"Lovely*Bright Place in Brooklyn/ Nearby L, G train",22134437,"Grace","Brooklyn","Greenpoint",40.72256,-73.94889,"Private room",85,2,2,"2019-06-30",2,1,103
16100032,"KG Room Wyndham Midtown 45",69545883,"Chayla","Manhattan","Midtown",40.75362,-73.97332,"Private room",799,3,1,"2016-12-11",0.03,12,365
29904478,"Cozy room in the heart of Bushwick",222581357,"Stella","Brooklyn","Bushwick",40.69276,-73.91465,"Private room",35,30,31,"2019-07-07",3.94,3,316
35154913,"Two Bathroom Suite steps from Central Park",231281049,"The Manhattan Club","Manhattan","Midtown",40.7642,-73.98035,"Private room",399,1,6,"2019-07-07",6,4,346
4786675,"Contemporary Luxury Studio Apartment",23852000,"Aram","Brooklyn","Williamsburg",40.71975,-73.96285,"Entire home/apt",148,30,16,"2019-04-19",0.37,1,195
